temperature,rainfall,humidity
88.62,46.81,31.87
54.72,27.78,58.85
32.69,80.98,32.07
25.55,39.7,48.34
33.67,25.27,63.23
46.0,81.97,52.71
68.29,27.42,39.16
69.03,88.25,59.84
54.71,34.48,29.34
40.73,61.32,93.84
36.47,40.94,75.07
60.28,47.74,41.55
88.85,57.53,45.61
36.22,79.25,66.16
50.27,68.59,55.67
45.12,80.92,90.41
88.65,73.04,62.01
55.44,31.71,50.8
55.84,46.69,39.94
69.66,90.28,51.9
30.12,38.59,44.96
67.83,93.05,51.88
37.0,24.04,84.72
69.28,55.58,77.38
62.99,63.24,37.33
74.85,45.79,69.52
70.15,95.78,84.63
65.79,58.81,71.85
57.42,45.41,29.99
70.74,32.58,76.62
66.95,93.99,32.61
33.68,22.3,86.49
61.64,28.91,77.12
77.88,87.12,60.09
43.54,93.78,60.64
57.99,55.44,55.66
69.38,56.15,43.27
73.44,44.67,39.54
86.92,60.93,78.66
58.21,52.72,83.79
47.58,93.34,32.1
31.99,33.62,83.72
30.25,32.97,73.24
86.8,45.14,50.51
71.15,72.09,28.66
80.31,39.88,69.86
30.4,62.91,75.04
33.23,72.97,74.23
63.1,86.57,59.54
33.46,45.45,55.52
45.6,24.91,40.05
80.32,40.11,51.45
32.8,44.91,30.72
70.94,57.26,88.39
58.11,43.33,49.25
47.14,34.57,36.32
90.02,23.24,32.26
43.55,36.29,72.3
65.99,76.41,95.12
27.9,55.62,67.84
62.76,70.78,94.61
60.24,32.19,57.24
54.09,52.46,54.89
55.22,79.41,82.82
59.76,24.78,47.43
27.39,90.29,44.18
89.65,70.78,87.84
47.42,76.63,95.72
41.0,90.61,94.37
71.97,50.31,43.37
42.47,93.74,68.25
40.11,60.29,48.73
51.26,53.82,56.77
70.31,57.75,98.79
28.38,28.2,95.59
44.03,54.92,66.6
39.74,41.16,80.01
89.04,40.08,88.0
46.73,72.75,67.3
88.86,90.0,71.5
33.36,35.86,90.74
31.59,85.94,45.72
26.78,62.11,68.76
34.54,20.87,53.0
36.44,51.87,70.26
52.68,53.36,78.43
67.85,64.59,64.81
66.67,33.33,76.46
78.09,79.1,83.18
40.61,38.51,90.77
76.0,82.44,88.84
53.9,73.78,40.49
78.34,31.49,77.23
83.77,39.26,87.28
31.78,61.74,79.97
26.66,28.42,40.24
90.51,60.83,47.42
56.45,24.53,50.88
80.44,46.82,83.39
28.63,21.43,50.34
34.31,32.6,70.58
60.48,78.83,67.7
67.66,48.43,36.99
61.71,32.85,91.78
82.54,35.56,28.62
55.43,23.02,55.38
87.39,82.9,48.48
28.75,81.33,59.26
75.91,62.93,52.58
51.36,94.77,31.91
64.7,66.72,56.83
89.66,86.2,60.29
74.6,57.34,28.24
57.57,29.07,81.0
40.5,44.76,62.57
52.54,23.23,38.23
68.63,77.98,43.57
46.97,49.76,44.78
31.82,54.9,29.5
56.65,85.23,65.08
56.38,65.02,52.72
70.25,80.94,84.96
62.11,87.36,66.68
39.76,45.85,80.15
30.1,23.96,44.28
83.14,40.92,98.54
81.87,95.51,74.74
28.98,88.68,38.18
44.43,53.45,65.37
71.6,88.45,89.54
38.65,88.58,58.6
59.47,87.7,38.94
42.58,93.14,71.4
56.07,84.87,90.66
30.95,63.9,45.24
40.54,42.21,47.77
58.62,73.03,74.86
65.15,38.99,37.49
29.74,76.81,38.25
52.08,27.96,43.53
26.68,46.46,56.22
62.89,44.69,91.39
63.12,94.43,84.1
66.05,94.23,96.95
71.79,51.37,86.95
27.02,91.18,86.17
85.77,58.97,55.18
54.41,34.56,61.52
76.01,91.47,78.68
35.44,81.47,39.92
86.79,66.74,86.25
90.37,69.76,73.97
75.56,90.26,66.66
80.04,59.06,58.86
73.01,86.74,78.66
62.21,52.76,39.48
71.93,43.33,86.11
37.18,42.74,63.48
64.98,74.72,44.8
46.94,38.49,70.7
35.03,84.41,33.5
42.04,54.77,70.71
45.26,63.08,53.01
83.55,82.91,69.8
86.59,66.01,35.34
90.12,83.68,57.98
59.96,57.15,60.26
53.57,44.42,95.56
45.98,27.78,78.63
55.33,54.8,76.8
46.68,82.74,50.45
40.07,81.75,80.92
60.04,51.65,45.3
68.74,28.88,51.85
75.45,61.5,35.31
82.1,78.6,29.92
58.13,70.5,42.48
48.64,37.12,34.49
81.08,48.16,40.08
29.43,24.28,53.66
90.28,46.93,38.21
69.65,70.85,86.17
58.05,50.47,88.84
36.31,69.57,91.93
36.15,49.81,90.53
29.75,29.18,62.69
26.42,56.95,75.9
82.38,29.78,89.3
88.03,41.29,70.56
63.7,23.31,36.32
69.79,87.83,66.81
33.53,70.27,54.25
89.76,83.99,88.22
58.76,50.82,81.62
45.11,36.68,40.77
49.44,36.11,79.0
27.76,60.3,45.29
47.74,74.02,35.89
78.11,65.47,29.38
86.93,52.84,83.85
56.06,41.77,64.28
35.47,36.28,57.61
87.83,50.29,92.65
87.41,54.92,51.54
27.37,24.21,86.27
35.37,23.46,97.31
73.29,57.42,60.23
89.08,89.76,51.24
64.06,74.39,90.82
40.15,86.94,61.26
36.38,33.17,44.22
29.14,28.41,78.08
89.02,70.61,37.48
82.38,91.74,76.99
68.65,67.35,58.48
63.99,59.11,47.85
64.61,37.76,35.88
53.88,57.86,90.56
54.01,25.25,78.21
35.31,77.02,81.21
81.85,79.34,44.93
36.46,35.81,34.63
41.59,74.75,70.89
48.29,75.83,80.23
52.9,24.28,95.21
69.48,56.54,49.37
86.95,85.38,68.04
33.95,75.42,57.49
52.01,53.35,81.31
54.03,62.82,50.93
67.71,38.7,65.38
45.6,74.07,79.33
34.55,39.83,65.82
53.99,31.64,47.16
86.73,59.18,51.32
52.38,43.48,39.08
30.94,30.06,83.5
54.44,60.29,43.97
27.18,50.89,37.47
65.55,94.02,82.37
33.05,54.7,40.95
81.56,64.67,38.63
47.66,58.38,42.59
31.49,45.2,30.88
72.31,67.23,38.72
76.81,38.23,68.63
39.67,30.67,74.49
71.01,82.17,43.88
35.81,90.97,79.97
78.02,51.22,83.13
30.35,53.13,43.61
63.76,71.85,93.29
30.87,66.15,79.8
59.46,42.97,85.49
31.59,73.47,65.73
58.7,25.69,56.03
83.95,91.63,56.43
46.78,52.61,63.87
60.66,92.21,62.16
54.6,57.84,71.01
90.04,87.77,48.55
66.46,67.62,72.37
76.29,50.41,32.79
33.55,92.12,61.27
66.0,91.48,93.46
37.77,60.32,40.41
47.44,40.66,75.45
26.46,63.45,63.39
43.41,36.17,68.33
75.39,86.95,69.09
79.46,95.47,62.27
33.84,45.96,71.91
85.99,74.3,73.76
82.64,81.91,60.17
33.52,85.56,60.61
67.54,65.96,74.53
78.8,92.3,44.46
67.63,87.75,56.18
45.5,45.92,69.52
32.43,54.86,80.95
31.11,55.95,70.56
81.55,79.74,38.39
79.77,86.82,60.76
53.78,36.63,96.7
81.48,26.23,67.4
48.38,57.14,54.08
79.02,94.93,60.38
72.17,43.3,56.92
70.04,44.65,32.7
57.45,69.57,75.05
64.8,71.41,72.01
74.26,25.18,57.43
72.75,60.3,81.05
90.39,50.96,38.57
72.69,86.19,73.86
28.38,42.65,64.75
90.02,39.96,55.95
50.89,59.57,54.29
26.68,78.55,30.79
85.34,49.29,90.38
68.16,68.92,77.18
30.3,57.13,47.77
89.51,76.97,31.82
51.59,72.2,75.37
38.03,76.69,84.42
72.62,26.01,53.66
26.5,58.98,63.69
43.56,56.41,69.58
56.35,63.46,87.4
40.53,49.52,51.99
56.73,60.52,47.1
37.47,26.95,70.19
29.56,87.93,56.98
89.76,29.16,91.08
71.29,94.34,78.96
58.78,91.04,67.22
54.64,29.08,49.25
54.58,79.6,67.94
57.91,94.57,78.36
44.6,64.6,46.06
38.0,59.12,39.66
54.67,88.35,38.5
56.19,76.2,78.04
76.1,76.7,68.93
75.02,65.5,60.31
65.31,70.7,75.03
61.96,50.88,75.11
70.56,39.99,68.04
62.2,94.53,38.92
41.76,62.3,58.88
46.59,57.24,80.4
48.92,48.55,48.81
79.5,57.18,88.07
75.12,38.96,90.6
25.85,66.76,71.53
87.24,71.33,53.08
50.27,73.14,69.78
48.84,31.45,68.51
56.39,80.9,71.51
83.04,84.12,57.94
75.91,52.76,76.55
43.3,22.44,72.88
26.21,60.9,87.88
67.73,56.34,56.09
28.94,68.14,86.9
88.27,37.57,85.4
53.17,88.06,48.79
33.02,61.21,49.75
75.8,26.62,94.05
31.15,54.78,43.58
29.27,49.97,49.69
61.0,85.89,33.6
87.38,78.06,55.13
74.83,50.01,39.39
54.27,28.48,30.51
73.06,46.72,29.59
49.92,25.91,86.99
86.36,60.39,30.99
32.26,47.36,44.81
76.37,75.81,89.48
52.99,75.15,61.06
51.65,73.84,69.5
62.95,74.43,49.57
58.25,83.25,84.29
87.01,80.93,59.64
64.56,33.89,30.68
83.92,84.15,59.3
67.91,39.69,96.66
82.8,71.84,41.05
43.96,62.24,47.01
58.96,45.51,65.91
90.07,89.3,53.59
69.72,53.65,93.18
29.09,55.95,55.44
73.99,81.51,43.07
38.08,67.09,31.77
80.15,54.28,73.51
81.73,55.05,62.21
71.24,83.15,97.92
80.69,80.95,60.27
72.88,31.41,48.26
55.25,84.39,74.73
29.95,41.86,40.72
90.93,41.76,32.88
47.66,24.56,61.61
29.64,38.86,38.1
47.07,83.63,63.56
27.76,66.2,39.98
62.89,52.57,90.59
48.16,71.63,91.25
75.65,40.22,69.13
29.02,59.92,70.41
67.74,83.03,28.12
37.07,57.49,46.91
43.2,40.87,82.74
87.52,84.39,42.76
53.98,44.22,86.77
55.75,80.81,53.39
51.52,41.1,35.0
61.43,76.8,55.77
79.07,71.52,48.01
38.63,67.67,73.71
36.48,78.82,86.66
90.14,48.44,54.24
74.58,34.73,66.89
78.74,40.14,69.58
76.51,63.62,59.5
80.33,29.58,70.95
35.44,34.2,53.15
53.66,83.55,92.82
76.25,62.27,49.78
88.73,25.61,37.92
59.81,62.48,50.17
54.57,75.91,77.87
42.98,24.97,54.18
82.04,66.23,53.47
74.91,33.18,33.0
87.85,76.68,69.52
71.11,35.63,56.95
80.67,60.13,47.47
85.22,65.27,73.09
56.21,40.86,45.51
48.44,22.87,83.97
45.08,82.15,30.92
40.5,28.89,87.41
50.12,27.27,55.91
58.29,49.57,96.2
60.97,40.94,81.23
47.6,92.44,98.29
71.5,45.68,67.64
53.17,23.75,53.25
90.61,58.33,98.77
25.53,51.43,78.31
37.49,85.38,58.61
26.78,48.63,79.68
65.71,24.1,31.15
42.99,63.55,34.88
87.64,85.03,28.79
47.15,62.13,77.54
66.34,40.39,77.67
77.19,38.42,42.46
80.68,60.59,30.27
62.47,24.67,82.55
74.99,55.82,40.38
52.33,47.14,74.05
58.22,41.48,88.64
89.71,91.78,54.77
86.5,89.45,35.6
62.1,21.33,94.04
72.62,68.64,55.19
73.04,28.75,61.11
28.49,84.61,69.94
38.55,53.28,80.34
35.16,50.02,46.3
48.8,35.63,38.87
68.9,79.85,71.45
55.85,31.57,31.84
63.51,92.11,88.35
70.25,28.07,54.49
42.4,83.21,75.23
49.27,46.93,61.87
85.4,95.41,57.79
88.78,50.01,55.63
53.58,36.53,56.6
39.93,69.03,82.42
61.1,52.71,74.85
81.3,82.78,42.7
89.04,69.81,68.15
73.73,93.52,54.11
74.59,57.29,69.18
85.59,79.7,40.14
67.42,37.94,82.46
30.62,44.56,56.96
73.4,58.85,36.22
83.36,35.81,36.62
43.08,81.08,83.16
65.45,69.57,75.95
40.59,32.99,42.46
61.49,20.97,93.16
86.65,57.9,78.79
47.39,58.15,87.91
28.42,25.29,60.29
88.44,37.75,85.46
78.49,60.95,91.57
54.06,51.07,93.51
77.15,73.45,28.15
77.11,71.14,47.84
41.96,72.19,61.72
39.3,30.69,51.6
74.82,71.93,60.41
68.19,80.96,59.44
89.47,27.38,80.93
42.55,69.62,98.93
46.52,64.0,31.83
60.43,64.89,47.45
60.21,41.17,89.41
58.65,44.82,51.18
83.16,61.89,35.08
72.16,32.83,32.35
53.86,92.76,62.93
84.32,54.48,53.43
89.65,91.28,67.9
49.14,49.69,88.38
77.18,70.58,84.03
61.75,35.63,87.66
63.39,66.44,98.98
48.99,35.26,44.84
50.26,39.24,96.54
54.42,25.98,34.42
52.34,64.44,37.33
27.51,56.42,96.73
45.59,83.4,66.51
88.07,50.59,88.12
28.06,77.57,32.25
37.86,38.56,34.8
63.7,21.56,81.53
90.16,52.83,45.97
55.28,30.54,70.72
58.81,38.05,61.36
64.73,49.75,53.83
88.58,67.54,86.87
37.44,22.88,74.81
39.41,72.69,44.48
63.31,84.74,29.8
74.0,26.98,62.02
65.87,21.84,35.63
26.74,85.75,81.93
66.36,35.57,92.93
65.94,35.68,52.14
89.59,60.55,73.34
27.52,26.37,35.74
44.58,60.68,36.17
32.2,44.59,86.71
73.82,36.72,65.63
90.16,71.71,83.13
79.47,52.6,41.49
63.05,32.25,77.13
36.54,57.36,93.77
25.77,69.71,87.95
40.86,24.16,96.16
30.33,23.47,33.78
60.72,23.2,89.38
28.23,28.06,85.89
63.2,33.92,88.73
87.77,60.82,97.3
55.4,24.42,51.59
63.11,53.9,35.59
54.03,41.56,38.0
60.19,21.16,58.77
50.94,65.83,76.89
36.62,39.82,44.62
83.63,76.99,90.35
31.63,71.4,97.94
32.63,76.65,54.23
51.71,34.89,85.35
63.05,63.63,92.46
31.31,71.1,30.08
44.14,54.64,52.06
70.42,89.28,60.41
81.2,87.89,60.38
39.32,81.2,60.62
41.04,27.15,47.05
27.33,33.05,92.08
84.46,48.2,57.25
38.79,92.15,75.2
51.18,51.06,33.88
51.73,83.9,93.9
67.03,60.16,64.66
59.07,79.83,65.24
75.72,69.85,77.17
60.88,66.37,39.31
35.6,55.52,51.36
65.63,89.7,71.18
32.53,25.18,34.59
61.46,71.28,49.74
79.72,20.44,68.84
64.51,67.01,43.0
72.64,61.94,66.34
80.41,34.77,88.11
51.21,95.0,64.99
47.36,36.41,77.85
80.5,58.22,57.49
78.65,45.66,90.99
59.35,56.04,52.75
75.01,36.43,98.23
53.57,42.15,81.35
29.63,62.95,65.79
81.92,50.58,42.01
60.48,83.17,31.1
28.16,91.12,98.31
66.79,32.36,72.36
52.26,75.32,39.06
74.86,46.93,51.77
26.19,21.72,96.29
55.62,25.09,50.48
72.06,83.32,45.56
58.61,54.15,98.88
31.48,74.66,59.34
74.72,75.74,96.04
59.58,44.53,63.15
47.46,63.24,95.08
47.37,71.73,45.6
28.86,68.76,79.94
64.62,50.11,97.6
67.94,46.53,82.45
82.72,38.03,43.25
88.42,40.31,30.45
48.29,31.61,80.57
34.64,80.27,72.44
56.54,46.66,83.08
29.78,57.17,44.73
77.94,34.95,55.03
65.03,52.28,94.01
46.33,26.76,31.23
62.71,38.56,94.03
48.41,45.1,81.34
30.93,32.26,43.44
85.51,42.22,79.04
84.29,86.51,72.6
60.92,48.15,40.44
51.84,73.08,74.59
31.34,70.91,79.98
37.2,25.29,72.63
71.46,69.2,81.53
66.34,72.1,84.82
26.95,21.29,46.16
74.6,42.04,56.43
85.18,76.01,28.21
41.98,65.25,60.17
37.38,79.72,30.66
36.37,48.46,93.36
65.96,34.33,84.12
53.25,59.33,28.08
38.18,49.56,33.6
56.84,93.26,90.7
87.02,81.12,89.54
75.29,64.6,84.3
34.85,34.14,81.77
59.22,71.02,49.3
30.74,58.11,32.9
43.96,95.49,40.91
82.19,70.82,77.33
86.22,48.85,84.7
78.6,20.38,52.79
38.98,21.94,97.14
38.8,55.96,35.38
41.13,46.24,39.07
52.36,20.15,32.77
58.73,82.35,35.37
42.19,41.85,73.4
61.49,27.32,37.46
55.9,84.97,68.55
57.81,30.27,83.56
51.88,46.67,57.54
88.73,71.47,85.04
79.44,91.11,51.9
75.2,46.79,39.28
57.59,55.38,96.59
44.17,28.53,70.18
49.07,62.49,89.4
30.63,74.83,29.07
34.31,54.23,80.43
85.66,90.26,90.14
45.9,34.08,77.5
81.72,48.7,78.02
56.13,32.42,94.78
79.92,91.5,48.01
67.71,54.52,52.18
58.41,20.94,75.59
34.37,94.88,52.8
29.78,33.2,94.91
25.9,91.81,74.94
59.14,51.94,85.67
48.12,63.43,62.02
46.13,25.58,57.45
27.29,75.85,75.1
67.54,31.26,59.18
53.02,20.38,64.12
53.96,82.97,77.01
45.53,80.42,74.56
79.75,81.67,87.48
50.44,61.6,44.55
75.01,64.85,50.81
41.7,22.59,95.9
42.26,93.93,86.69
27.41,85.0,96.95
66.75,93.26,51.49
88.92,41.35,89.07
62.41,41.05,52.35
63.34,43.04,98.03
37.96,30.24,78.63
68.4,83.51,76.04
42.08,63.32,60.36
52.06,83.66,96.28
66.05,42.06,81.3
35.75,69.38,89.18
71.93,28.14,73.77
61.98,62.92,76.74
56.41,61.92,82.06
54.31,29.53,36.65
67.08,63.08,91.44
51.17,72.12,37.36
81.63,54.99,64.27
41.1,22.67,58.33
88.24,70.93,66.63
74.32,20.63,43.51
36.23,41.36,89.8
65.63,47.17,67.66
31.28,51.69,63.49
88.81,29.71,47.48
54.03,22.15,85.12
80.0,93.82,87.54
50.31,74.5,80.59
41.3,74.44,82.09
27.02,68.4,80.75
42.49,67.17,58.85
49.18,62.96,71.69
75.27,47.12,97.71
86.76,55.42,53.31
89.24,68.22,49.97
77.69,64.15,36.75
37.79,21.37,75.34
40.29,28.3,45.1
57.84,58.9,76.3
46.29,91.48,57.83
28.21,41.13,67.54
40.36,26.4,75.6
62.15,38.46,56.33
81.9,41.32,49.16
36.14,61.41,72.26
55.93,53.4,87.12
44.06,72.96,28.61
59.12,38.45,95.98
56.52,53.37,75.72
53.49,52.49,47.27
57.91,72.8,28.81
62.4,59.77,58.5
80.95,84.27,89.53
75.18,54.15,74.73
79.68,81.26,58.64
67.92,79.97,56.42
60.86,41.45,88.61
66.59,68.58,69.11
71.89,27.03,29.96
67.41,50.48,61.32
51.49,31.16,94.97
48.18,60.39,97.53
53.42,61.29,84.46
70.92,94.66,41.94
47.54,37.44,59.55
69.75,61.32,55.71
36.07,80.7,33.57
80.05,62.62,63.72
88.55,54.69,86.35
47.24,93.01,87.55
84.55,67.98,95.85
69.59,58.41,81.32
82.5,82.01,81.85
34.86,84.36,37.58
45.78,33.99,86.06
29.76,37.18,96.52
67.03,57.37,32.94
71.14,60.05,78.47
89.88,44.9,75.89
74.65,47.57,54.51
86.85,47.75,44.82
43.36,35.59,76.39
65.89,31.1,71.62
25.43,88.8,38.23
88.88,66.84,36.38
69.67,74.95,68.56
64.08,46.04,32.47
27.36,20.52,88.99
63.49,85.18,88.94
86.67,57.25,51.39
50.86,92.58,64.97
73.48,82.32,77.85
35.51,55.22,84.46
46.37,22.18,73.29
26.21,50.16,88.26
29.7,91.3,89.02
27.17,63.0,74.39
31.62,53.75,54.6
27.05,57.85,67.19
41.39,78.88,52.48
77.88,20.84,84.73
33.41,66.2,46.76
90.2,70.43,51.0
85.75,61.63,64.68
48.3,42.39,62.92
86.12,86.68,87.83
88.9,51.54,95.73
70.59,56.52,45.46
75.48,88.68,53.71
67.31,39.39,61.25
35.82,79.66,30.64
38.81,38.13,46.03
32.22,39.12,69.1
44.49,24.19,86.64
76.12,25.72,64.61
47.17,84.3,42.78
60.85,64.62,74.63
38.41,41.79,96.07
28.45,45.43,92.97
65.21,44.39,60.14
30.29,82.93,28.74
35.71,62.98,47.56
83.63,83.08,44.64
64.53,79.42,76.72
80.59,92.37,90.76
85.23,56.42,53.72
49.29,66.07,74.09
72.36,85.01,68.59
69.5,28.14,74.99
67.12,33.29,80.3
63.59,35.97,74.7
66.86,81.25,34.24
30.37,56.72,49.88
55.88,60.02,93.08
88.15,54.03,83.91
52.24,32.71,48.11
36.98,59.98,90.26
40.73,78.07,42.29
45.05,71.65,95.38
49.41,40.42,57.23
55.23,85.56,81.08
30.45,83.42,75.84
83.86,91.66,57.13
84.61,21.47,97.63
38.07,38.47,60.35
87.28,22.29,72.98
80.91,85.39,96.4
36.49,51.51,66.37
76.66,22.89,87.34
74.39,79.45,91.18
76.79,90.27,81.44
42.38,31.52,53.26
78.22,63.35,32.85
55.91,88.64,50.32
72.94,56.45,47.13
71.75,30.67,58.67
85.17,87.98,32.24
27.22,34.09,53.54
54.23,66.59,93.64
81.75,71.74,70.76
72.45,81.31,71.86
37.99,35.16,59.58
26.53,68.63,33.06
80.65,93.5,54.56
59.57,29.11,45.3
49.45,85.37,96.15
76.51,25.59,72.34
57.25,26.15,56.86
82.31,51.95,84.01
30.46,23.67,94.97
27.03,22.53,56.16
27.79,61.6,55.88
54.54,75.17,83.29
67.35,95.62,32.63
70.14,70.57,52.35
55.82,78.91,40.97
82.74,61.05,59.38
47.93,94.65,71.68
79.01,71.76,32.89
69.44,76.65,31.65
64.39,56.13,91.42
43.99,62.88,93.34
67.32,90.59,62.55
56.03,33.43,74.96
76.36,23.43,67.54
35.92,87.88,85.37
27.7,78.74,66.64
27.45,88.79,36.91
60.7,57.28,55.72
53.38,70.26,28.55
90.29,46.98,34.99
52.09,31.03,51.78
68.27,40.71,44.62
47.17,74.27,98.81
71.22,36.69,67.99
36.8,85.8,91.39
83.76,30.6,80.68
29.41,64.1,47.19
84.11,30.53,54.37
66.55,46.68,42.25
31.92,34.99,37.09
46.3,77.59,89.66
43.85,61.99,35.07
60.44,68.0,96.16
66.57,50.34,84.31
90.47,49.6,35.13
66.85,64.78,32.87
40.39,70.62,90.27
77.2,27.49,66.69
43.83,65.26,55.88
46.11,40.65,59.57
28.24,80.07,49.56
79.97,28.39,62.12
31.79,37.61,63.72
77.17,53.36,85.78
35.18,72.83,35.65
86.66,57.54,66.94
88.7,79.74,58.13
75.34,83.86,68.94
68.23,57.48,80.79
73.77,68.45,80.4
37.17,87.17,92.95
25.87,44.42,60.55
75.11,41.73,95.57
39.37,75.78,56.58
30.63,63.29,55.74
79.93,35.21,47.67
71.57,45.96,48.88
68.27,34.18,83.12
37.2,92.34,52.06
28.06,66.98,51.15
53.64,51.26,97.48
25.6,43.12,58.54
69.56,32.19,82.71
66.64,48.05,38.12
55.06,54.59,74.31
70.18,57.76,98.23
36.41,83.21,53.79
63.92,52.51,29.84
48.6,40.02,83.44
64.52,30.45,95.54
62.98,36.52,28.92
37.63,95.18,47.13
71.18,33.8,91.7
52.73,40.19,86.11
65.6,84.39,54.3
26.28,35.57,62.72
65.08,74.93,43.12
76.15,77.47,55.58
43.89,87.37,97.49
51.9,44.02,45.85
35.64,68.75,40.36
77.27,56.6,32.14
72.76,34.56,57.29
42.94,33.74,38.57
49.59,24.86,52.91
90.28,36.28,97.44
63.37,34.69,33.59
63.71,20.04,57.04
27.48,83.18,94.18
66.42,92.69,61.0
30.34,34.69,65.45
50.7,25.78,44.8
47.25,66.46,89.17
31.4,85.09,58.67
45.07,25.06,65.05
85.62,22.95,51.44
46.64,92.37,52.05
33.25,81.2,84.31
61.0,59.6,90.28
66.04,28.75,35.98
64.53,61.49,45.59
44.88,23.96,78.03
88.48,60.42,30.65
68.29,52.58,44.51
40.82,83.93,74.95
81.76,50.22,41.68
42.96,26.07,48.42
85.28,84.56,40.22
50.43,20.4,34.65
44.04,74.38,41.45
44.17,37.63,69.11
77.63,41.28,54.19
61.33,50.57,33.41
26.21,50.27,97.49
50.06,22.4,64.07
40.43,32.16,43.15
37.04,29.33,36.35
68.91,79.59,83.66
45.33,32.79,65.3
29.88,82.76,83.14
86.91,26.34,57.09
43.55,61.06,91.83
71.88,40.19,59.61
39.86,61.41,81.07
72.02,83.67,62.73
53.15,43.0,47.91
33.34,29.55,28.5
47.38,84.88,39.83
84.56,74.99,83.49
70.72,76.36,98.61
80.19,28.65,97.28
65.88,88.24,59.01
75.03,38.93,88.12
66.71,91.6,55.54
60.82,47.85,88.86
